action_counter_0,action_counter_1,action_counter_2,fruits_eaten,mean_reward,sum_episode_rewards,termination_reason,timesteps_survived
12,9,9,1,0.1,3,hit_wall,30
7,8,2,0,-0.058823529411764705,-1,hit_wall,17
29,16,11,4,0.375,21,hit_own_body,56
7,6,2,1,0.2,3,hit_wall,15
16,10,8,3,0.4117647058823529,14,hit_own_body,34
15,7,9,2,0.25806451612903225,8,hit_wall,31
6,4,2,2,0.6666666666666666,8,hit_wall,12
8,4,4,2,0.5,8,hit_own_body,16
4,1,0,0,-0.2,-1,hit_wall,5
9,12,3,0,-0.041666666666666664,-1,hit_wall,24
12,9,3,0,-0.041666666666666664,-1,hit_wall,24
12,16,15,2,0.18604651162790697,8,hit_wall,43
9,9,14,0,-0.03125,-1,hit_wall,32
19,23,19,6,0.6229508196721312,38,hit_own_body,61
23,18,15,4,0.375,21,hit_own_body,56
9,5,5,2,0.42105263157894735,8,hit_wall,19
4,7,6,2,0.47058823529411764,8,hit_own_body,17
20,10,16,3,0.30434782608695654,14,hit_own_body,46
9,9,4,0,-0.045454545454545456,-1,hit_wall,22
4,1,0,0,-0.2,-1,hit_wall,5
1,2,3,0,-0.16666666666666666,-1,hit_wall,6
4,5,6,2,0.5333333333333333,8,hit_wall,15
8,27,13,3,0.2916666666666667,14,hit_own_body,48
14,10,15,2,0.20512820512820512,8,hit_wall,39
26,33,11,2,0.11428571428571428,8,hit_own_body,70
6,4,6,2,0.5,8,hit_own_body,16
5,9,11,2,0.32,8,hit_own_body,25
2,9,3,0,-0.07142857142857142,-1,hit_wall,14
3,5,5,3,1.0769230769230769,14,hit_own_body,13
36,31,17,5,0.34523809523809523,29,hit_own_body,84
5,6,1,0,-0.08333333333333333,-1,hit_wall,12
2,1,2,1,0.6,3,hit_wall,5
8,10,3,3,0.6666666666666666,14,hit_wall,21
37,43,12,4,0.22826086956521738,21,hit_wall,92
8,10,12,2,0.26666666666666666,8,hit_wall,30
29,16,20,3,0.2153846153846154,14,hit_wall,65
13,14,15,2,0.19047619047619047,8,hit_wall,42
4,4,6,0,-0.07142857142857142,-1,hit_wall,14
12,15,6,3,0.42424242424242425,14,hit_own_body,33
8,9,6,3,0.6086956521739131,14,hit_wall,23
7,12,4,0,-0.043478260869565216,-1,hit_wall,23
5,6,6,1,0.17647058823529413,3,hit_wall,17
27,23,18,4,0.3088235294117647,21,hit_own_body,68
5,3,2,1,0.3,3,hit_wall,10
6,6,10,2,0.36363636363636365,8,hit_own_body,22
10,13,7,1,0.1,3,hit_wall,30
5,6,3,1,0.21428571428571427,3,hit_wall,14
32,18,21,4,0.29577464788732394,21,hit_own_body,71
19,22,14,2,0.14545454545454545,8,hit_wall,55
4,10,8,1,0.13636363636363635,3,hit_wall,22
2,1,6,1,0.3333333333333333,3,hit_wall,9
18,11,11,2,0.2,8,hit_wall,40
19,20,13,3,0.2692307692307692,14,hit_wall,52
39,26,26,7,0.5274725274725275,48,hit_wall,91
5,2,2,1,0.3333333333333333,3,hit_wall,9
9,10,5,3,0.5833333333333334,14,hit_own_body,24
13,11,4,2,0.2857142857142857,8,hit_wall,28
9,7,11,3,0.5185185185185185,14,hit_own_body,27
4,2,3,2,0.8888888888888888,8,hit_wall,9
6,6,2,1,0.21428571428571427,3,hit_wall,14
9,7,11,2,0.2962962962962963,8,hit_wall,27
11,13,8,4,0.65625,21,hit_own_body,32
3,2,1,1,0.5,3,hit_wall,6
6,5,5,1,0.1875,3,hit_wall,16
27,13,7,6,0.8085106382978723,38,hit_wall,47
5,6,2,1,0.23076923076923078,3,hit_wall,13
15,6,20,3,0.34146341463414637,14,hit_wall,41
65,42,29,11,0.7205882352941176,98,hit_wall,136
6,3,1,1,0.3,3,hit_wall,10
1,2,3,2,1.3333333333333333,8,hit_wall,6
6,9,3,3,0.7777777777777778,14,hit_own_body,18
11,5,6,1,0.13636363636363635,3,hit_wall,22
3,1,2,1,0.5,3,hit_wall,6
2,2,2,1,0.5,3,hit_wall,6
4,1,6,0,-0.09090909090909091,-1,hit_wall,11
26,13,10,3,0.2857142857142857,14,hit_wall,49
8,3,5,1,0.1875,3,hit_wall,16
18,3,7,2,0.2857142857142857,8,hit_wall,28
4,3,2,2,0.8888888888888888,8,hit_wall,9
25,18,18,5,0.47540983606557374,29,hit_wall,61
17,16,11,4,0.4772727272727273,21,hit_own_body,44
3,4,3,1,0.3,3,hit_wall,10
11,14,8,1,0.09090909090909091,3,hit_wall,33
9,3,5,1,0.17647058823529413,3,hit_wall,17
2,3,3,1,0.375,3,hit_wall,8
20,13,13,1,0.06521739130434782,3,hit_wall,46
4,3,2,2,0.8888888888888888,8,hit_wall,9
42,29,22,7,0.5161290322580645,48,hit_wall,93
26,14,14,3,0.25925925925925924,14,hit_wall,54
3,3,2,1,0.375,3,hit_wall,8
5,2,1,1,0.375,3,hit_wall,8
4,3,1,1,0.375,3,hit_wall,8
20,15,13,5,0.6041666666666666,29,hit_own_body,48
18,13,6,5,0.7837837837837838,29,hit_wall,37
5,6,1,1,0.25,3,hit_wall,12
21,15,16,4,0.40384615384615385,21,hit_own_body,52
15,13,4,4,0.65625,21,hit_own_body,32
22,18,12,2,0.15384615384615385,8,hit_own_body,52
7,13,11,3,0.45161290322580644,14,hit_own_body,31
13,16,10,1,0.07692307692307693,3,hit_wall,39
3,2,1,0,-0.16666666666666666,-1,hit_wall,6
8,4,5,1,0.17647058823529413,3,hit_wall,17
24,21,27,6,0.5277777777777778,38,hit_own_body,72
22,12,11,3,0.3111111111111111,14,hit_wall,45
22,34,19,1,0.04,3,hit_wall,75
3,4,5,2,0.6666666666666666,8,hit_wall,12
2,1,2,0,-0.2,-1,hit_wall,5
13,15,18,3,0.30434782608695654,14,hit_wall,46
5,2,2,1,0.3333333333333333,3,hit_wall,9
14,12,11,4,0.5675675675675675,21,hit_own_body,37
20,11,8,3,0.358974358974359,14,hit_wall,39
15,15,7,5,0.7837837837837838,29,hit_wall,37
8,3,1,0,-0.08333333333333333,-1,hit_wall,12
7,3,3,1,0.23076923076923078,3,hit_wall,13
1,5,3,0,-0.1111111111111111,-1,hit_wall,9
15,6,12,3,0.42424242424242425,14,hit_wall,33
6,3,8,1,0.17647058823529413,3,hit_wall,17
9,9,8,1,0.11538461538461539,3,hit_wall,26
8,4,2,1,0.21428571428571427,3,hit_wall,14
11,6,8,2,0.32,8,hit_own_body,25
12,8,5,2,0.32,8,hit_wall,25
9,9,9,2,0.2962962962962963,8,hit_wall,27
3,3,3,1,0.3333333333333333,3,hit_wall,9
4,3,3,1,0.3,3,hit_wall,10
1,2,3,1,0.5,3,hit_wall,6
17,10,11,5,0.7631578947368421,29,hit_own_body,38
7,7,4,0,-0.05555555555555555,-1,hit_wall,18
12,13,10,3,0.4,14,hit_own_body,35
6,6,3,2,0.5333333333333333,8,hit_wall,15
16,20,15,3,0.27450980392156865,14,hit_own_body,51
38,14,14,5,0.4393939393939394,29,hit_own_body,66
40,35,32,7,0.4485981308411215,48,hit_wall,107
4,1,2,2,1.1428571428571428,8,hit_wall,7
6,4,3,1,0.23076923076923078,3,hit_wall,13
4,7,4,2,0.5333333333333333,8,hit_wall,15
4,6,4,1,0.21428571428571427,3,hit_wall,14
7,12,10,1,0.10344827586206896,3,hit_wall,29
3,2,3,1,0.375,3,hit_wall,8
6,3,6,1,0.2,3,hit_wall,15
2,3,2,1,0.42857142857142855,3,hit_wall,7
10,5,10,1,0.12,3,hit_wall,25
10,7,10,1,0.1111111111111111,3,hit_wall,27
9,6,4,3,0.7368421052631579,14,hit_wall,19
21,14,14,5,0.5918367346938775,29,hit_own_body,49
5,6,1,0,-0.08333333333333333,-1,hit_wall,12
12,4,7,0,-0.043478260869565216,-1,hit_wall,23
7,4,2,2,0.6153846153846154,8,hit_wall,13
4,6,9,2,0.42105263157894735,8,hit_wall,19
5,1,2,1,0.375,3,hit_wall,8
6,7,12,3,0.56,14,hit_wall,25
5,9,8,3,0.6363636363636364,14,hit_wall,22
11,5,2,2,0.4444444444444444,8,hit_wall,18
10,11,6,3,0.5185185185185185,14,hit_own_body,27
5,7,4,0,-0.0625,-1,hit_wall,16
13,13,6,4,0.65625,21,hit_own_body,32
24,22,20,3,0.21212121212121213,14,hit_wall,66
20,16,16,3,0.2692307692307692,14,hit_wall,52
5,7,17,1,0.10344827586206896,3,hit_wall,29
0,3,4,0,-0.14285714285714285,-1,hit_wall,7
7,3,4,1,0.21428571428571427,3,hit_wall,14
7,6,4,0,-0.058823529411764705,-1,hit_wall,17
18,9,8,4,0.6,21,hit_wall,35
22,12,16,5,0.58,29,hit_own_body,50
9,19,11,1,0.07692307692307693,3,hit_wall,39
17,15,10,3,0.3333333333333333,14,hit_wall,42
6,5,8,3,0.7368421052631579,14,hit_wall,19
39,19,21,8,0.7468354430379747,59,hit_own_body,79
4,1,3,1,0.375,3,hit_wall,8
6,5,4,0,-0.06666666666666667,-1,hit_wall,15
6,2,4,1,0.25,3,hit_wall,12
2,2,3,1,0.42857142857142855,3,hit_wall,7
7,1,7,1,0.2,3,hit_wall,15
2,3,3,1,0.375,3,hit_wall,8
33,12,21,4,0.3181818181818182,21,hit_wall,66
20,14,12,3,0.30434782608695654,14,hit_wall,46
13,5,8,0,-0.038461538461538464,-1,hit_wall,26
8,10,8,2,0.3076923076923077,8,hit_own_body,26
18,10,13,4,0.5121951219512195,21,hit_wall,41
25,7,12,5,0.6590909090909091,29,hit_wall,44
12,9,8,5,1.0,29,hit_wall,29
9,7,10,1,0.11538461538461539,3,hit_wall,26
28,20,16,7,0.75,48,hit_wall,64
7,6,4,1,0.17647058823529413,3,hit_wall,17
3,1,3,1,0.42857142857142855,3,hit_wall,7
1,3,4,1,0.375,3,hit_wall,8
22,25,16,3,0.2222222222222222,14,hit_wall,63
4,1,3,1,0.375,3,hit_wall,8
8,7,9,2,0.3333333333333333,8,hit_wall,24
12,15,7,3,0.4117647058823529,14,hit_wall,34
3,6,6,2,0.5333333333333333,8,hit_own_body,15
14,24,11,2,0.16326530612244897,8,hit_own_body,49
28,25,21,3,0.1891891891891892,14,hit_wall,74
5,4,8,2,0.47058823529411764,8,hit_own_body,17
19,16,15,1,0.06,3,hit_wall,50
21,18,16,4,0.38181818181818183,21,hit_wall,55
8,10,5,2,0.34782608695652173,8,hit_wall,23
8,12,8,4,0.75,21,hit_wall,28
8,10,7,2,0.32,8,hit_wall,25
4,1,0,0,-0.2,-1,hit_wall,5
5,3,7,1,0.2,3,hit_wall,15
21,24,26,4,0.29577464788732394,21,hit_wall,71
3,9,7,2,0.42105263157894735,8,hit_wall,19
40,32,28,8,0.59,59,hit_own_body,100
32,19,22,7,0.6575342465753424,48,hit_own_body,73
2,3,2,0,-0.14285714285714285,-1,hit_wall,7
10,9,9,2,0.2857142857142857,8,hit_wall,28
19,11,7,3,0.3783783783783784,14,hit_wall,37
5,8,2,1,0.2,3,hit_wall,15
14,17,10,4,0.5121951219512195,21,hit_wall,41
18,15,19,6,0.7307692307692307,38,hit_own_body,52
8,7,9,3,0.5833333333333334,14,hit_wall,24
14,8,19,4,0.5121951219512195,21,hit_own_body,41
11,13,5,3,0.4827586206896552,14,hit_own_body,29
17,4,21,3,0.3333333333333333,14,hit_own_body,42
15,8,5,4,0.75,21,hit_own_body,28
3,1,2,1,0.5,3,hit_wall,6
4,1,3,1,0.375,3,hit_wall,8
25,17,19,4,0.3442622950819672,21,hit_own_body,61
19,17,16,4,0.40384615384615385,21,hit_wall,52
11,9,6,1,0.11538461538461539,3,hit_wall,26
14,12,11,1,0.08108108108108109,3,hit_wall,37
9,5,4,2,0.4444444444444444,8,hit_wall,18
6,9,5,3,0.7,14,hit_own_body,20
14,15,19,6,0.7916666666666666,38,hit_own_body,48
4,6,8,2,0.4444444444444444,8,hit_own_body,18
