action_counter_0,action_counter_1,action_counter_2,fruits_eaten,mean_reward,sum_episode_rewards,termination_reason,timesteps_survived
28,8,6,3,0.3333333333333333,14,hit_own_body,42
23,9,9,2,0.1951219512195122,8,hit_wall,41
13,6,5,2,0.3333333333333333,8,hit_wall,24
7,5,2,1,0.21428571428571427,3,hit_wall,14
36,18,9,2,0.12698412698412698,8,hit_wall,63
3,9,1,0,-0.07692307692307693,-1,hit_wall,13
13,7,7,2,0.2962962962962963,8,hit_wall,27
9,9,10,1,0.10714285714285714,3,hit_wall,28
4,2,0,1,0.5,3,hit_wall,6
28,40,23,5,0.31868131868131866,29,hit_own_body,91
38,38,33,4,0.1926605504587156,21,hit_own_body,109
23,14,2,3,0.358974358974359,14,hit_own_body,39
18,6,9,4,0.6363636363636364,21,hit_wall,33
12,6,5,1,0.13043478260869565,3,hit_wall,23
6,12,4,2,0.36363636363636365,8,hit_own_body,22
27,31,22,3,0.175,14,hit_own_body,80
24,12,15,2,0.1568627450980392,8,hit_wall,51
7,6,2,1,0.2,3,hit_wall,15
10,3,6,1,0.15789473684210525,3,hit_wall,19
30,21,14,4,0.3230769230769231,21,hit_own_body,65
19,8,12,2,0.20512820512820512,8,hit_own_body,39
3,1,1,2,1.6,8,hit_wall,5
22,19,13,3,0.25925925925925924,14,hit_wall,54
11,25,19,1,0.05454545454545454,3,hit_wall,55
25,9,12,1,0.06521739130434782,3,hit_wall,46
18,8,10,3,0.3888888888888889,14,hit_own_body,36
8,5,2,1,0.2,3,hit_wall,15
13,9,3,2,0.32,8,hit_own_body,25
19,12,18,3,0.2857142857142857,14,hit_own_body,49
7,4,3,0,-0.07142857142857142,-1,hit_wall,14
19,9,20,3,0.2916666666666667,14,hit_wall,48
4,1,0,0,-0.2,-1,hit_wall,5
29,11,11,2,0.1568627450980392,8,hit_wall,51
6,8,3,1,0.17647058823529413,3,hit_wall,17
29,12,14,4,0.38181818181818183,21,hit_own_body,55
23,10,10,3,0.32558139534883723,14,hit_own_body,43
12,9,8,1,0.10344827586206896,3,hit_wall,29
16,16,10,3,0.3333333333333333,14,hit_own_body,42
12,11,10,2,0.24242424242424243,8,hit_wall,33
18,12,6,2,0.2222222222222222,8,hit_wall,36
28,20,19,3,0.208955223880597,14,hit_wall,67
13,14,20,2,0.1702127659574468,8,hit_wall,47
29,12,15,2,0.14285714285714285,8,hit_own_body,56
6,10,5,0,-0.047619047619047616,-1,hit_wall,21
74,51,51,6,0.2159090909090909,38,hit_own_body,176
27,31,12,4,0.3,21,hit_wall,70
5,1,8,1,0.21428571428571427,3,hit_wall,14
2,6,3,0,-0.09090909090909091,-1,hit_wall,11
12,9,12,0,-0.030303030303030304,-1,hit_wall,33
15,13,14,3,0.3333333333333333,14,hit_wall,42
4,2,7,0,-0.07692307692307693,-1,hit_wall,13
14,12,13,1,0.07692307692307693,3,hit_wall,39
4,4,5,0,-0.07692307692307693,-1,hit_wall,13
9,3,5,0,-0.058823529411764705,-1,hit_wall,17
13,10,9,2,0.25,8,hit_wall,32
23,16,22,3,0.22950819672131148,14,hit_wall,61
11,3,4,2,0.4444444444444444,8,hit_wall,18
3,4,3,0,-0.1,-1,hit_wall,10
15,3,10,0,-0.03571428571428571,-1,hit_wall,28
