action_counter_0,action_counter_1,action_counter_2,fruits_eaten,mean_reward,sum_episode_rewards,termination_reason,timesteps_survived
3,0,1,0,-0.25,-1,hit_wall,4
1,4,4,0,-0.1111111111111111,-1,hit_wall,9
2,4,3,0,-0.1111111111111111,-1,hit_wall,9
4,11,2,0,-0.058823529411764705,-1,hit_wall,17
2,9,2,0,-0.07692307692307693,-1,hit_wall,13
0,8,4,0,-0.08333333333333333,-1,hit_wall,12
1,4,3,0,-0.125,-1,hit_wall,8
3,35,3,0,-0.024390243902439025,-1,hit_wall,41
4,9,2,0,-0.06666666666666667,-1,hit_wall,15
1,20,5,0,-0.038461538461538464,-1,hit_wall,26
2,1,2,0,-0.2,-1,hit_wall,5
1,6,3,0,-0.1,-1,hit_wall,10
2,15,3,0,-0.05,-1,hit_wall,20
2,23,4,2,0.27586206896551724,8,hit_own_body,29
2,27,17,1,0.06521739130434782,3,hit_wall,46
6,8,3,0,-0.058823529411764705,-1,hit_wall,17
1,4,5,1,0.3,3,hit_wall,10
9,4,6,1,0.15789473684210525,3,hit_wall,19
7,11,4,0,-0.045454545454545456,-1,hit_wall,22
7,8,7,1,0.13636363636363635,3,hit_wall,22
2,3,5,0,-0.1,-1,hit_wall,10
1,8,5,0,-0.07142857142857142,-1,hit_wall,14
1,4,6,0,-0.09090909090909091,-1,hit_wall,11
4,32,8,1,0.06818181818181818,3,hit_wall,44
2,4,5,1,0.2727272727272727,3,hit_wall,11
1,7,9,0,-0.058823529411764705,-1,hit_wall,17
10,15,17,0,-0.023809523809523808,-1,hit_wall,42
11,32,4,0,-0.02127659574468085,-1,hit_wall,47
1,3,4,1,0.375,3,hit_wall,8
6,17,10,0,-0.030303030303030304,-1,hit_wall,33
0,3,4,0,-0.14285714285714285,-1,hit_wall,7
2,3,4,0,-0.1111111111111111,-1,hit_wall,9
5,17,8,1,0.1,3,hit_wall,30
5,7,6,0,-0.05555555555555555,-1,hit_wall,18
1,2,3,0,-0.16666666666666666,-1,hit_wall,6
1,6,11,0,-0.05555555555555555,-1,hit_wall,18
2,16,10,0,-0.03571428571428571,-1,hit_wall,28
2,1,6,0,-0.1111111111111111,-1,hit_wall,9
5,18,6,1,0.10344827586206896,3,hit_wall,29
4,7,8,0,-0.05263157894736842,-1,hit_wall,19
10,19,5,0,-0.029411764705882353,-1,hit_wall,34
2,4,6,0,-0.08333333333333333,-1,hit_wall,12
7,8,16,2,0.25806451612903225,8,hit_wall,31
2,3,4,0,-0.1111111111111111,-1,hit_wall,9
3,1,1,0,-0.2,-1,hit_wall,5
3,11,13,1,0.1111111111111111,3,hit_wall,27
7,17,22,1,0.06521739130434782,3,hit_wall,46
18,30,10,0,-0.017241379310344827,-1,hit_wall,58
18,15,33,2,0.12121212121212122,8,hit_own_body,66
2,3,5,0,-0.1,-1,hit_wall,10
6,3,8,2,0.47058823529411764,8,hit_own_body,17
2,10,8,0,-0.05,-1,hit_wall,20
4,5,11,1,0.15,3,hit_wall,20
7,12,6,1,0.12,3,hit_wall,25
7,7,4,0,-0.05555555555555555,-1,hit_wall,18
3,6,7,0,-0.0625,-1,hit_wall,16
4,15,7,0,-0.038461538461538464,-1,hit_wall,26
6,7,4,0,-0.058823529411764705,-1,hit_wall,17
4,7,10,1,0.14285714285714285,3,hit_wall,21
3,1,9,0,-0.07692307692307693,-1,hit_wall,13
10,12,14,0,-0.027777777777777776,-1,hit_wall,36
8,11,13,2,0.25,8,hit_wall,32
21,49,44,0,-0.008771929824561403,-1,hit_wall,114
8,6,10,0,-0.041666666666666664,-1,hit_wall,24
15,14,17,0,-0.021739130434782608,-1,hit_wall,46
3,9,4,0,-0.0625,-1,hit_wall,16
2,7,7,1,0.1875,3,hit_wall,16
6,15,9,0,-0.03333333333333333,-1,hit_wall,30
8,9,6,0,-0.043478260869565216,-1,hit_wall,23
6,10,2,0,-0.05555555555555555,-1,hit_wall,18
10,15,13,0,-0.02631578947368421,-1,hit_wall,38
12,22,45,2,0.10126582278481013,8,hit_own_body,79
6,13,10,1,0.10344827586206896,3,hit_wall,29
6,1,3,1,0.3,3,hit_wall,10
5,9,5,0,-0.05263157894736842,-1,hit_wall,19
11,20,14,0,-0.022222222222222223,-1,hit_wall,45
4,1,16,2,0.38095238095238093,8,hit_wall,21
4,2,4,0,-0.1,-1,hit_wall,10
7,9,6,0,-0.045454545454545456,-1,hit_wall,22
6,12,4,0,-0.045454545454545456,-1,hit_wall,22
8,17,16,0,-0.024390243902439025,-1,hit_wall,41
11,8,21,0,-0.025,-1,hit_wall,40
6,4,9,0,-0.05263157894736842,-1,hit_wall,19
6,15,7,2,0.2857142857142857,8,hit_own_body,28
2,4,2,0,-0.125,-1,hit_wall,8
7,20,11,0,-0.02631578947368421,-1,hit_wall,38
8,4,14,0,-0.038461538461538464,-1,hit_wall,26
6,5,6,0,-0.058823529411764705,-1,hit_wall,17
5,2,17,0,-0.041666666666666664,-1,hit_wall,24
24,22,56,0,-0.00980392156862745,-1,hit_wall,102
2,10,12,0,-0.041666666666666664,-1,hit_wall,24
3,2,6,0,-0.09090909090909091,-1,hit_wall,11
2,5,9,0,-0.0625,-1,hit_wall,16
2,8,5,0,-0.06666666666666667,-1,hit_wall,15
