action_counter_0,action_counter_1,action_counter_2,fruits_eaten,mean_reward,sum_episode_rewards,termination_reason,timesteps_survived
11,18,9,0,-0.02631578947368421,-1,hit_wall,38
9,16,9,0,-0.029411764705882353,-1,hit_wall,34
1,2,3,0,-0.16666666666666666,-1,hit_wall,6
9,19,17,0,-0.022222222222222223,-1,hit_wall,45
3,0,1,0,-0.25,-1,hit_wall,4
14,10,18,0,-0.023809523809523808,-1,hit_wall,42
7,0,4,0,-0.09090909090909091,-1,hit_wall,11
2,2,2,0,-0.16666666666666666,-1,hit_wall,6
4,2,3,0,-0.1111111111111111,-1,hit_wall,9
3,3,2,0,-0.125,-1,hit_wall,8
10,12,10,2,0.25,8,hit_own_body,32
4,1,1,0,-0.16666666666666666,-1,hit_wall,6
3,4,5,0,-0.08333333333333333,-1,hit_wall,12
4,1,3,0,-0.125,-1,hit_wall,8
4,5,2,0,-0.09090909090909091,-1,hit_wall,11
3,5,5,0,-0.07692307692307693,-1,hit_wall,13
2,3,2,0,-0.14285714285714285,-1,hit_wall,7
7,15,8,0,-0.03333333333333333,-1,hit_wall,30
6,7,10,1,0.13043478260869565,3,hit_wall,23
4,1,2,0,-0.14285714285714285,-1,hit_wall,7
8,5,3,1,0.1875,3,hit_wall,16
