action_counter_0,action_counter_1,action_counter_2,fruits_eaten,mean_reward,sum_episode_rewards,termination_reason,timesteps_survived
2,1,2,0,-0.2,-1,hit_wall,5
8,7,7,0,-0.045454545454545456,-1,hit_wall,22
3,1,1,0,-0.2,-1,hit_wall,5
2,6,11,1,0.15789473684210525,3,hit_wall,19
4,0,2,0,-0.16666666666666666,-1,hit_wall,6
4,6,5,0,-0.06666666666666667,-1,hit_wall,15
0,4,4,0,-0.125,-1,hit_wall,8
6,2,3,0,-0.09090909090909091,-1,hit_wall,11
5,4,12,0,-0.047619047619047616,-1,hit_wall,21
2,3,3,0,-0.125,-1,hit_wall,8
4,2,2,1,0.375,3,hit_wall,8
5,2,4,0,-0.09090909090909091,-1,hit_wall,11
4,1,2,0,-0.14285714285714285,-1,hit_wall,7
