action_counter_0,action_counter_1,action_counter_2,fruits_eaten,mean_reward,sum_episode_rewards,termination_reason,timesteps_survived
14,14,18,0,-0.021739130434782608,-1,hit_wall,46
25,28,22,0,-0.013333333333333334,-1,hit_wall,75
25,41,44,1,0.02727272727272727,3,hit_wall,110
6,12,20,0,-0.02631578947368421,-1,hit_wall,38
6,11,6,0,-0.043478260869565216,-1,hit_wall,23
14,15,16,1,0.06666666666666667,3,hit_wall,45
6,3,3,0,-0.08333333333333333,-1,hit_wall,12
5,5,5,1,0.2,3,hit_wall,15
9,18,17,0,-0.022727272727272728,-1,hit_wall,44
14,19,13,1,0.06521739130434782,3,hit_wall,46
16,18,18,0,-0.019230769230769232,-1,hit_wall,52
10,10,7,1,0.1111111111111111,3,hit_wall,27
3,2,2,0,-0.14285714285714285,-1,hit_wall,7
13,9,14,0,-0.027777777777777776,-1,hit_wall,36
15,17,10,0,-0.023809523809523808,-1,hit_wall,42
17,20,17,0,-0.018518518518518517,-1,hit_wall,54
6,3,2,0,-0.09090909090909091,-1,hit_wall,11
5,6,5,0,-0.0625,-1,hit_wall,16
7,11,14,0,-0.03125,-1,hit_wall,32
3,17,14,1,0.08823529411764706,3,hit_wall,34
16,14,8,0,-0.02631578947368421,-1,hit_wall,38
2,3,3,0,-0.125,-1,hit_wall,8
13,17,10,1,0.075,3,hit_wall,40
8,13,9,0,-0.03333333333333333,-1,hit_wall,30
12,23,12,0,-0.02127659574468085,-1,hit_wall,47
2,3,3,0,-0.125,-1,hit_wall,8
13,7,11,0,-0.03225806451612903,-1,hit_wall,31
10,15,15,0,-0.025,-1,hit_wall,40
13,16,14,0,-0.023255813953488372,-1,hit_wall,43
6,3,2,0,-0.09090909090909091,-1,hit_wall,11
2,3,3,0,-0.125,-1,hit_wall,8
4,9,9,0,-0.045454545454545456,-1,hit_wall,22
13,9,10,0,-0.03125,-1,hit_wall,32
3,2,2,0,-0.14285714285714285,-1,hit_wall,7
20,22,9,1,0.058823529411764705,3,hit_wall,51
16,8,8,0,-0.03125,-1,hit_wall,32
23,32,29,0,-0.011904761904761904,-1,hit_wall,84
6,7,4,0,-0.058823529411764705,-1,hit_wall,17
23,29,23,0,-0.013333333333333334,-1,hit_wall,75
25,31,34,0,-0.011111111111111112,-1,hit_wall,90
10,16,10,0,-0.027777777777777776,-1,hit_wall,36
6,9,8,0,-0.043478260869565216,-1,hit_wall,23
11,11,10,0,-0.03125,-1,hit_wall,32
