action_counter_0,action_counter_1,action_counter_2,fruits_eaten,mean_reward,sum_episode_rewards,termination_reason,timesteps_survived
3,4,5,0,-0.08333333333333333,-1,hit_wall,12
10,3,13,0,-0.038461538461538464,-1,hit_wall,26
32,23,34,0,-0.011235955056179775,-1,hit_wall,89
13,14,13,0,-0.025,-1,hit_wall,40
5,17,17,0,-0.02564102564102564,-1,hit_wall,39
26,16,27,0,-0.014492753623188406,-1,hit_wall,69
7,9,9,0,-0.04,-1,hit_wall,25
26,28,36,1,0.03333333333333333,3,hit_wall,90
2,3,3,0,-0.125,-1,hit_wall,8
5,8,4,0,-0.058823529411764705,-1,hit_wall,17
23,21,21,1,0.046153846153846156,3,hit_wall,65
7,6,2,0,-0.06666666666666667,-1,hit_wall,15
9,12,13,0,-0.029411764705882353,-1,hit_wall,34
10,5,4,0,-0.05263157894736842,-1,hit_wall,19
7,13,9,0,-0.034482758620689655,-1,hit_wall,29
15,36,15,0,-0.015151515151515152,-1,hit_wall,66
6,6,7,0,-0.05263157894736842,-1,hit_wall,19
3,2,2,0,-0.14285714285714285,-1,hit_wall,7
6,7,5,0,-0.05555555555555555,-1,hit_wall,18
7,11,9,0,-0.037037037037037035,-1,hit_wall,27
2,5,5,0,-0.08333333333333333,-1,hit_wall,12
9,10,10,1,0.10344827586206896,3,hit_wall,29
21,18,13,0,-0.019230769230769232,-1,hit_wall,52
17,16,12,0,-0.022222222222222223,-1,hit_wall,45
3,8,7,0,-0.05555555555555555,-1,hit_wall,18
7,8,4,2,0.42105263157894735,8,hit_wall,19
6,3,11,0,-0.05,-1,hit_wall,20
3,2,2,0,-0.14285714285714285,-1,hit_wall,7
19,26,22,0,-0.014925373134328358,-1,hit_wall,67
2,5,5,0,-0.08333333333333333,-1,hit_wall,12
12,9,15,0,-0.027777777777777776,-1,hit_wall,36
13,3,6,0,-0.045454545454545456,-1,hit_wall,22
3,6,5,0,-0.07142857142857142,-1,hit_wall,14
12,13,10,0,-0.02857142857142857,-1,hit_wall,35
11,8,7,1,0.11538461538461539,3,hit_wall,26
6,1,9,0,-0.0625,-1,hit_wall,16
5,4,4,0,-0.07692307692307693,-1,hit_wall,13
16,11,9,0,-0.027777777777777776,-1,hit_wall,36
4,13,12,0,-0.034482758620689655,-1,hit_wall,29
7,6,5,0,-0.05555555555555555,-1,hit_wall,18
4,8,3,0,-0.06666666666666667,-1,hit_wall,15
3,8,4,0,-0.06666666666666667,-1,hit_wall,15
2,3,3,0,-0.125,-1,hit_wall,8
4,6,2,0,-0.08333333333333333,-1,hit_wall,12
7,4,11,0,-0.045454545454545456,-1,hit_wall,22
10,12,13,0,-0.02857142857142857,-1,hit_wall,35
16,13,14,0,-0.023255813953488372,-1,hit_wall,43
10,8,11,0,-0.034482758620689655,-1,hit_wall,29
20,18,11,0,-0.02040816326530612,-1,hit_wall,49
10,10,10,0,-0.03333333333333333,-1,hit_wall,30
7,4,7,0,-0.05555555555555555,-1,hit_wall,18
9,7,7,0,-0.043478260869565216,-1,hit_wall,23
2,8,11,0,-0.047619047619047616,-1,hit_wall,21
