action_counter_0,action_counter_1,action_counter_2,fruits_eaten,mean_reward,sum_episode_rewards,termination_reason,timesteps_survived
25,22,5,0,-0.019230769230769232,-1,hit_wall,52
4,2,2,0,-0.125,-1,hit_wall,8
23,31,7,0,-0.01639344262295082,-1,hit_wall,61
32,51,25,0,-0.009259259259259259,-1,hit_wall,108
7,19,2,0,-0.03571428571428571,-1,hit_wall,28
35,41,31,0,-0.009345794392523364,-1,hit_wall,107
10,13,4,0,-0.037037037037037035,-1,hit_wall,27
12,19,30,0,-0.01639344262295082,-1,hit_wall,61
10,10,6,0,-0.038461538461538464,-1,hit_wall,26
11,20,8,0,-0.02564102564102564,-1,hit_wall,39
19,30,42,0,-0.01098901098901099,-1,hit_wall,91
6,6,10,0,-0.045454545454545456,-1,hit_wall,22
3,2,2,0,-0.14285714285714285,-1,hit_wall,7
27,45,57,0,-0.007751937984496124,-1,hit_wall,129
5,3,3,0,-0.09090909090909091,-1,hit_wall,11
4,19,6,0,-0.034482758620689655,-1,hit_wall,29
4,17,8,0,-0.034482758620689655,-1,hit_wall,29
16,64,11,0,-0.01098901098901099,-1,hit_wall,91
12,30,13,0,-0.01818181818181818,-1,hit_wall,55
9,20,7,0,-0.027777777777777776,-1,hit_wall,36
9,19,5,0,-0.030303030303030304,-1,hit_wall,33
19,27,46,0,-0.010869565217391304,-1,hit_wall,92
7,11,6,0,-0.041666666666666664,-1,hit_wall,24
10,37,5,0,-0.019230769230769232,-1,hit_wall,52
4,5,13,0,-0.045454545454545456,-1,hit_wall,22
6,5,2,0,-0.07692307692307693,-1,hit_wall,13
33,48,52,0,-0.007518796992481203,-1,hit_wall,133
20,23,22,0,-0.015384615384615385,-1,hit_wall,65
2,3,7,0,-0.08333333333333333,-1,hit_wall,12
7,24,13,0,-0.022727272727272728,-1,hit_wall,44
9,17,32,0,-0.017241379310344827,-1,hit_wall,58
2,1,5,2,1.0,8,hit_own_body,8
11,13,30,0,-0.018518518518518517,-1,hit_wall,54
14,77,26,0,-0.008547008547008548,-1,hit_wall,117
3,15,47,0,-0.015384615384615385,-1,hit_wall,65
7,23,15,0,-0.022222222222222223,-1,hit_wall,45
11,8,13,0,-0.03125,-1,hit_wall,32
9,2,14,0,-0.04,-1,hit_wall,25
5,10,21,1,0.08333333333333333,3,hit_wall,36
2,9,26,1,0.08108108108108109,3,hit_wall,37
21,44,30,0,-0.010526315789473684,-1,hit_wall,95
11,15,36,0,-0.016129032258064516,-1,hit_wall,62
5,14,35,0,-0.018518518518518517,-1,hit_wall,54
16,27,16,0,-0.01694915254237288,-1,hit_wall,59
11,23,27,0,-0.01639344262295082,-1,hit_wall,61
4,7,3,0,-0.07142857142857142,-1,hit_wall,14
26,58,43,0,-0.007874015748031496,-1,hit_wall,127
8,12,30,0,-0.02,-1,hit_wall,50
11,22,20,0,-0.018867924528301886,-1,hit_wall,53
17,62,13,0,-0.010869565217391304,-1,hit_wall,92
2,13,6,0,-0.047619047619047616,-1,hit_wall,21
11,30,13,1,0.05555555555555555,3,hit_wall,54
24,66,68,0,-0.006329113924050633,-1,hit_wall,158
4,6,19,1,0.10344827586206896,3,hit_wall,29
7,13,15,0,-0.02857142857142857,-1,hit_wall,35
7,3,8,0,-0.05555555555555555,-1,hit_wall,18
10,30,19,0,-0.01694915254237288,-1,hit_wall,59
12,15,20,0,-0.02127659574468085,-1,hit_wall,47
4,3,8,0,-0.06666666666666667,-1,hit_wall,15
8,23,9,0,-0.025,-1,hit_wall,40
2,9,9,0,-0.05,-1,hit_wall,20
10,13,19,0,-0.023809523809523808,-1,hit_wall,42
20,25,43,0,-0.011363636363636364,-1,hit_wall,88
17,25,26,0,-0.014705882352941176,-1,hit_wall,68
7,4,12,0,-0.043478260869565216,-1,hit_wall,23
30,19,29,0,-0.01282051282051282,-1,hit_wall,78
19,62,41,0,-0.00819672131147541,-1,hit_wall,122
9,15,11,0,-0.02857142857142857,-1,hit_wall,35
3,19,6,1,0.10714285714285714,3,hit_wall,28
13,21,33,1,0.04477611940298507,3,hit_wall,67
31,40,37,0,-0.009259259259259259,-1,hit_wall,108
13,20,9,0,-0.023809523809523808,-1,hit_wall,42
7,8,21,0,-0.027777777777777776,-1,hit_wall,36
5,0,0,0,-0.2,-1,hit_wall,5
6,5,9,0,-0.05,-1,hit_wall,20
3,2,6,0,-0.09090909090909091,-1,hit_wall,11
2,5,6,0,-0.07692307692307693,-1,hit_wall,13
