action_counter_0,action_counter_1,action_counter_2,fruits_eaten,mean_reward,sum_episode_rewards,termination_reason,timesteps_survived
23,13,11,2,0.1702127659574468,8,hit_wall,47
30,39,38,2,0.07476635514018691,8,hit_own_body,107
56,78,70,2,0.0392156862745098,8,hit_own_body,204
20,20,3,0,-0.023255813953488372,-1,hit_wall,43
37,27,28,3,0.15217391304347827,14,hit_own_body,92
24,25,7,0,-0.017857142857142856,-1,hit_wall,56
9,4,3,0,-0.0625,-1,hit_wall,16
5,9,5,0,-0.05263157894736842,-1,hit_wall,19
2,13,5,2,0.4,8,hit_own_body,20
15,16,17,0,-0.020833333333333332,-1,hit_wall,48
11,16,13,2,0.2,8,hit_own_body,40
44,54,37,2,0.05925925925925926,8,hit_wall,135
8,11,16,2,0.22857142857142856,8,hit_own_body,35
2,8,12,0,-0.045454545454545456,-1,hit_wall,22
10,9,10,2,0.27586206896551724,8,hit_own_body,29
12,3,6,0,-0.047619047619047616,-1,hit_wall,21
6,8,13,0,-0.037037037037037035,-1,hit_wall,27
6,2,1,0,-0.1111111111111111,-1,hit_wall,9
7,4,6,1,0.17647058823529413,3,hit_wall,17
25,28,33,3,0.16279069767441862,14,hit_own_body,86
17,10,15,2,0.19047619047619047,8,hit_wall,42
13,27,19,1,0.05084745762711865,3,hit_wall,59
5,5,4,0,-0.07142857142857142,-1,hit_wall,14
18,13,21,2,0.15384615384615385,8,hit_own_body,52
15,11,26,2,0.15384615384615385,8,hit_wall,52
27,26,24,2,0.1038961038961039,8,hit_wall,77
42,33,10,1,0.03529411764705882,3,hit_wall,85
3,8,7,1,0.16666666666666666,3,hit_wall,18
21,28,18,1,0.04477611940298507,3,hit_wall,67
4,7,6,2,0.47058823529411764,8,hit_own_body,17
10,20,27,1,0.05263157894736842,3,hit_wall,57
40,29,26,3,0.14736842105263157,14,hit_own_body,95
6,23,23,1,0.057692307692307696,3,hit_wall,52
8,21,13,1,0.07142857142857142,3,hit_wall,42
24,23,13,3,0.23333333333333334,14,hit_own_body,60
10,13,21,0,-0.022727272727272728,-1,hit_wall,44
20,20,15,1,0.05454545454545454,3,hit_wall,55
14,11,8,1,0.09090909090909091,3,hit_wall,33
17,24,14,0,-0.01818181818181818,-1,hit_wall,55
9,4,5,2,0.4444444444444444,8,hit_wall,18
11,13,9,0,-0.030303030303030304,-1,hit_wall,33
16,18,16,3,0.28,14,hit_own_body,50
10,8,5,0,-0.043478260869565216,-1,hit_wall,23
11,7,2,1,0.15,3,hit_wall,20
12,15,7,1,0.08823529411764706,3,hit_wall,34
5,2,6,0,-0.07692307692307693,-1,hit_wall,13
14,10,6,2,0.26666666666666666,8,hit_own_body,30
25,16,5,3,0.30434782608695654,14,hit_own_body,46
5,1,1,0,-0.14285714285714285,-1,hit_wall,7
4,4,4,0,-0.08333333333333333,-1,hit_wall,12
19,39,24,2,0.0975609756097561,8,hit_own_body,82
12,4,7,2,0.34782608695652173,8,hit_wall,23
9,7,5,1,0.14285714285714285,3,hit_wall,21
8,16,11,2,0.22857142857142856,8,hit_own_body,35
24,49,53,2,0.06349206349206349,8,hit_own_body,126
13,15,16,2,0.18181818181818182,8,hit_own_body,44
12,7,7,2,0.3076923076923077,8,hit_own_body,26
23,13,19,1,0.05454545454545454,3,hit_wall,55
5,2,1,0,-0.125,-1,hit_wall,8
12,17,12,1,0.07317073170731707,3,hit_wall,41
19,9,7,1,0.08571428571428572,3,hit_wall,35
15,9,16,0,-0.025,-1,hit_wall,40
27,34,51,0,-0.008928571428571428,-1,hit_wall,112
5,8,12,2,0.32,8,hit_own_body,25
9,18,9,1,0.08333333333333333,3,hit_wall,36
27,17,12,2,0.14285714285714285,8,hit_own_body,56
9,2,12,1,0.13043478260869565,3,hit_wall,23
13,11,13,1,0.08108108108108109,3,hit_wall,37
20,20,27,2,0.11940298507462686,8,hit_wall,67
29,23,25,2,0.1038961038961039,8,hit_own_body,77
2,5,5,0,-0.08333333333333333,-1,hit_wall,12
14,13,21,2,0.16666666666666666,8,hit_wall,48
17,20,27,2,0.125,8,hit_own_body,64
12,9,6,1,0.1111111111111111,3,hit_wall,27
17,14,11,2,0.19047619047619047,8,hit_wall,42
7,11,4,1,0.13636363636363635,3,hit_wall,22
4,2,2,1,0.375,3,hit_wall,8
120,96,67,2,0.028268551236749116,8,hit_wall,283
14,8,13,0,-0.02857142857142857,-1,hit_wall,35
12,3,1,0,-0.0625,-1,hit_wall,16
12,14,17,2,0.18604651162790697,8,hit_wall,43
10,16,8,1,0.08823529411764706,3,hit_wall,34
32,25,37,2,0.0851063829787234,8,hit_own_body,94
7,8,4,1,0.15789473684210525,3,hit_wall,19
38,24,26,0,-0.011363636363636364,-1,hit_wall,88
5,5,9,0,-0.05263157894736842,-1,hit_wall,19
15,21,19,2,0.14545454545454545,8,hit_wall,55
6,2,4,0,-0.08333333333333333,-1,hit_wall,12
43,29,44,1,0.02586206896551724,3,hit_wall,116
6,4,5,0,-0.06666666666666667,-1,hit_wall,15
9,10,23,2,0.19047619047619047,8,hit_own_body,42
14,10,11,0,-0.02857142857142857,-1,hit_wall,35
9,8,1,2,0.4444444444444444,8,hit_own_body,18
30,13,19,2,0.12903225806451613,8,hit_own_body,62
6,5,18,1,0.10344827586206896,3,hit_wall,29
18,15,21,0,-0.018518518518518517,-1,hit_wall,54
11,13,15,2,0.20512820512820512,8,hit_own_body,39
