action_counter_0,action_counter_1,action_counter_2,fruits_eaten,mean_reward,sum_episode_rewards,termination_reason,timesteps_survived
22,27,29,0,-0.01282051282051282,-1,hit_wall,78
16,14,21,1,0.058823529411764705,3,hit_wall,51
4,5,10,0,-0.05263157894736842,-1,hit_wall,19
12,15,18,0,-0.022222222222222223,-1,hit_wall,45
6,6,10,0,-0.045454545454545456,-1,hit_wall,22
1,5,6,1,0.25,3,hit_wall,12
19,21,21,1,0.04918032786885246,3,hit_wall,61
14,16,21,0,-0.0196078431372549,-1,hit_wall,51
8,14,10,0,-0.03125,-1,hit_wall,32
6,5,6,0,-0.058823529411764705,-1,hit_wall,17
3,2,2,0,-0.14285714285714285,-1,hit_wall,7
5,2,1,0,-0.125,-1,hit_wall,8
5,9,15,0,-0.034482758620689655,-1,hit_wall,29
19,40,33,2,0.08695652173913043,8,hit_wall,92
39,52,59,1,0.02,3,hit_wall,150
18,28,32,0,-0.01282051282051282,-1,hit_wall,78
9,5,5,0,-0.05263157894736842,-1,hit_wall,19
6,2,2,0,-0.1,-1,hit_wall,10
5,7,3,0,-0.06666666666666667,-1,hit_wall,15
3,5,6,0,-0.07142857142857142,-1,hit_wall,14
12,9,13,1,0.08823529411764706,3,hit_wall,34
8,5,3,0,-0.0625,-1,hit_wall,16
3,10,2,0,-0.06666666666666667,-1,hit_wall,15
10,17,13,0,-0.025,-1,hit_wall,40
8,8,1,2,0.47058823529411764,8,hit_own_body,17
10,8,14,0,-0.03125,-1,hit_wall,32
11,15,28,0,-0.018518518518518517,-1,hit_wall,54
9,12,7,0,-0.03571428571428571,-1,hit_wall,28
5,2,2,0,-0.1111111111111111,-1,hit_wall,9
3,3,3,0,-0.1111111111111111,-1,hit_wall,9
12,11,15,0,-0.02631578947368421,-1,hit_wall,38
6,3,7,0,-0.0625,-1,hit_wall,16
27,21,29,0,-0.012987012987012988,-1,hit_wall,77
12,9,18,1,0.07692307692307693,3,hit_wall,39
5,8,4,0,-0.058823529411764705,-1,hit_wall,17
45,57,50,1,0.019736842105263157,3,hit_wall,152
39,52,46,1,0.021897810218978103,3,hit_wall,137
5,3,2,0,-0.1,-1,hit_wall,10
9,10,10,0,-0.034482758620689655,-1,hit_wall,29
5,4,5,0,-0.07142857142857142,-1,hit_wall,14
10,13,22,0,-0.022222222222222223,-1,hit_wall,45
7,8,16,0,-0.03225806451612903,-1,hit_wall,31
13,10,19,1,0.07142857142857142,3,hit_wall,42
25,17,25,2,0.11940298507462686,8,hit_wall,67
11,3,8,1,0.13636363636363635,3,hit_wall,22
21,29,17,1,0.04477611940298507,3,hit_wall,67
4,4,4,0,-0.08333333333333333,-1,hit_wall,12
10,5,12,1,0.1111111111111111,3,hit_wall,27
7,12,16,0,-0.02857142857142857,-1,hit_wall,35
8,3,7,0,-0.05555555555555555,-1,hit_wall,18
10,9,19,1,0.07894736842105263,3,hit_wall,38
6,1,4,0,-0.09090909090909091,-1,hit_wall,11
4,3,3,0,-0.1,-1,hit_wall,10
8,13,11,2,0.25,8,hit_own_body,32
11,8,6,0,-0.04,-1,hit_wall,25
20,20,35,2,0.10666666666666667,8,hit_wall,75
13,22,25,1,0.05,3,hit_wall,60
7,13,8,0,-0.03571428571428571,-1,hit_wall,28
9,14,22,0,-0.022222222222222223,-1,hit_wall,45
10,6,8,0,-0.041666666666666664,-1,hit_wall,24
39,33,53,0,-0.008,-1,hit_wall,125
9,13,11,0,-0.030303030303030304,-1,hit_wall,33
6,13,13,1,0.09375,3,hit_wall,32
5,5,6,0,-0.0625,-1,hit_wall,16
17,16,9,0,-0.023809523809523808,-1,hit_wall,42
8,2,4,1,0.21428571428571427,3,hit_wall,14
8,3,2,0,-0.07692307692307693,-1,hit_wall,13
9,7,9,0,-0.04,-1,hit_wall,25
11,8,15,0,-0.029411764705882353,-1,hit_wall,34
19,22,31,3,0.19444444444444445,14,hit_wall,72
23,46,29,0,-0.01020408163265306,-1,hit_wall,98
19,22,17,2,0.13793103448275862,8,hit_wall,58
25,12,28,1,0.046153846153846156,3,hit_wall,65
13,14,11,0,-0.02631578947368421,-1,hit_wall,38
14,8,12,0,-0.029411764705882353,-1,hit_wall,34
19,27,23,0,-0.014492753623188406,-1,hit_wall,69
4,5,10,0,-0.05263157894736842,-1,hit_wall,19
5,10,9,0,-0.041666666666666664,-1,hit_wall,24
3,3,3,0,-0.1111111111111111,-1,hit_wall,9
15,18,15,1,0.0625,3,hit_wall,48
4,2,2,0,-0.125,-1,hit_wall,8
25,23,20,0,-0.014705882352941176,-1,hit_wall,68
13,15,5,0,-0.030303030303030304,-1,hit_wall,33
3,3,4,0,-0.1,-1,hit_wall,10
7,5,3,1,0.2,3,hit_wall,15
11,14,18,0,-0.023255813953488372,-1,hit_wall,43
6,11,20,1,0.08108108108108109,3,hit_wall,37
15,8,20,1,0.06976744186046512,3,hit_wall,43
7,7,6,1,0.15,3,hit_wall,20
28,37,32,1,0.030927835051546393,3,hit_wall,97
15,16,34,1,0.046153846153846156,3,hit_wall,65
13,20,18,0,-0.0196078431372549,-1,hit_wall,51
10,13,14,1,0.08108108108108109,3,hit_wall,37
8,8,7,0,-0.043478260869565216,-1,hit_wall,23
15,5,20,1,0.075,3,hit_wall,40
20,16,13,0,-0.02040816326530612,-1,hit_wall,49
