action_counter_0,action_counter_1,action_counter_2,fruits_eaten,mean_reward,sum_episode_rewards,termination_reason,timesteps_survived
3,9,9,1,0.14285714285714285,3,hit_wall,21
17,34,10,3,0.22950819672131148,14,hit_wall,61
20,36,18,1,0.04054054054054054,3,hit_wall,74
24,23,18,1,0.046153846153846156,3,hit_wall,65
5,3,3,0,-0.09090909090909091,-1,hit_wall,11
6,16,8,0,-0.03333333333333333,-1,hit_wall,30
23,15,21,0,-0.01694915254237288,-1,hit_wall,59
7,14,11,2,0.25,8,hit_wall,32
7,12,6,1,0.12,3,hit_wall,25
6,5,10,0,-0.047619047619047616,-1,hit_wall,21
6,20,12,0,-0.02631578947368421,-1,hit_wall,38
38,32,17,1,0.034482758620689655,3,hit_wall,87
29,33,32,2,0.0851063829787234,8,hit_own_body,94
15,10,12,2,0.21621621621621623,8,hit_own_body,37
2,9,5,1,0.1875,3,hit_wall,16
31,22,14,0,-0.014925373134328358,-1,hit_wall,67
19,17,11,0,-0.02127659574468085,-1,hit_wall,47
18,17,11,1,0.06521739130434782,3,hit_wall,46
49,37,39,1,0.024,3,hit_wall,125
14,16,10,2,0.2,8,hit_wall,40
7,2,6,0,-0.06666666666666667,-1,hit_wall,15
11,9,2,0,-0.045454545454545456,-1,hit_wall,22
83,37,48,3,0.08333333333333333,14,hit_own_body,168
29,42,41,1,0.026785714285714284,3,hit_wall,112
25,24,15,1,0.046875,3,hit_wall,64
23,16,31,0,-0.014285714285714285,-1,hit_wall,70
15,21,14,2,0.16,8,hit_own_body,50
3,3,3,0,-0.1111111111111111,-1,hit_wall,9
3,3,3,0,-0.1111111111111111,-1,hit_wall,9
7,33,12,0,-0.019230769230769232,-1,hit_wall,52
19,41,31,1,0.03296703296703297,3,hit_wall,91
12,20,18,1,0.06,3,hit_wall,50
13,12,10,0,-0.02857142857142857,-1,hit_wall,35
4,7,8,1,0.15789473684210525,3,hit_wall,19
11,8,10,0,-0.034482758620689655,-1,hit_wall,29
7,6,6,1,0.15789473684210525,3,hit_wall,19
4,21,5,0,-0.03333333333333333,-1,hit_wall,30
6,10,25,1,0.07317073170731707,3,hit_wall,41
26,39,36,0,-0.009900990099009901,-1,hit_wall,101
12,21,10,0,-0.023255813953488372,-1,hit_wall,43
10,8,10,0,-0.03571428571428571,-1,hit_wall,28
0,5,5,0,-0.1,-1,hit_wall,10
11,23,9,1,0.06976744186046512,3,hit_wall,43
23,18,23,1,0.046875,3,hit_wall,64
5,13,9,2,0.2962962962962963,8,hit_own_body,27
39,36,25,1,0.03,3,hit_wall,100
16,30,17,2,0.12698412698412698,8,hit_own_body,63
2,11,27,1,0.075,3,hit_wall,40
18,14,12,0,-0.022727272727272728,-1,hit_wall,44
20,17,19,2,0.14285714285714285,8,hit_own_body,56
7,9,9,2,0.32,8,hit_own_body,25
4,1,1,0,-0.16666666666666666,-1,hit_wall,6
8,16,12,1,0.08333333333333333,3,hit_wall,36
19,12,16,2,0.1702127659574468,8,hit_own_body,47
2,5,22,0,-0.034482758620689655,-1,hit_wall,29
24,7,24,0,-0.01818181818181818,-1,hit_wall,55
9,11,7,0,-0.037037037037037035,-1,hit_wall,27
11,11,12,2,0.23529411764705882,8,hit_own_body,34
4,5,4,0,-0.07692307692307693,-1,hit_wall,13
24,30,34,0,-0.011363636363636364,-1,hit_wall,88
8,13,14,0,-0.02857142857142857,-1,hit_wall,35
41,36,40,0,-0.008547008547008548,-1,hit_wall,117
3,5,12,1,0.15,3,hit_wall,20
29,23,24,2,0.10526315789473684,8,hit_own_body,76
6,6,6,1,0.16666666666666666,3,hit_wall,18
7,17,7,1,0.0967741935483871,3,hit_wall,31
5,5,5,1,0.2,3,hit_wall,15
27,33,17,2,0.1038961038961039,8,hit_own_body,77
8,7,4,1,0.15789473684210525,3,hit_wall,19
18,29,36,1,0.03614457831325301,3,hit_wall,83
16,22,14,2,0.15384615384615385,8,hit_own_body,52
25,81,25,1,0.022900763358778626,3,hit_wall,131
26,15,27,1,0.04411764705882353,3,hit_wall,68
24,31,54,2,0.07339449541284404,8,hit_own_body,109
1,5,5,1,0.2727272727272727,3,hit_wall,11
10,11,8,0,-0.034482758620689655,-1,hit_wall,29
15,6,12,1,0.09090909090909091,3,hit_wall,33
9,26,10,2,0.17777777777777778,8,hit_own_body,45
14,6,4,2,0.3333333333333333,8,hit_wall,24
1,10,6,1,0.17647058823529413,3,hit_wall,17
7,5,8,1,0.15,3,hit_wall,20
21,10,37,2,0.11764705882352941,8,hit_own_body,68
17,11,4,0,-0.03125,-1,hit_wall,32
21,11,27,1,0.05084745762711865,3,hit_wall,59
8,15,14,1,0.08108108108108109,3,hit_wall,37
15,13,5,0,-0.030303030303030304,-1,hit_wall,33
24,23,11,2,0.13793103448275862,8,hit_own_body,58
10,19,9,0,-0.02631578947368421,-1,hit_wall,38
18,7,4,0,-0.034482758620689655,-1,hit_wall,29
14,23,13,2,0.16,8,hit_own_body,50
10,25,22,1,0.05263157894736842,3,hit_wall,57
23,57,23,2,0.07766990291262135,8,hit_own_body,103
62,73,61,2,0.04081632653061224,8,hit_own_body,196
3,10,5,1,0.16666666666666666,3,hit_wall,18
41,26,5,2,0.1111111111111111,8,hit_wall,72
39,42,39,3,0.11666666666666667,14,hit_wall,120
9,4,10,1,0.13043478260869565,3,hit_wall,23
7,2,3,1,0.25,3,hit_wall,12
8,8,7,1,0.13043478260869565,3,hit_wall,23
74,41,26,1,0.02127659574468085,3,hit_wall,141
24,17,18,1,0.05084745762711865,3,hit_wall,59
28,36,39,2,0.07766990291262135,8,hit_wall,103
12,10,18,0,-0.025,-1,hit_wall,40
4,6,6,0,-0.0625,-1,hit_wall,16
