action_counter_0,action_counter_1,action_counter_2,fruits_eaten,mean_reward,sum_episode_rewards,termination_reason,timesteps_survived
62,12,7,4,0.25925925925925924,21,hit_wall,81
33,10,10,3,0.2641509433962264,14,hit_wall,53
732,130,138,1,0.004,4,timestep_limit_exceeded,1000
28,8,8,3,0.3181818181818182,14,hit_own_body,44
8,4,14,2,0.3076923076923077,8,hit_own_body,26
28,5,6,2,0.20512820512820512,8,hit_wall,39
15,8,6,1,0.10344827586206896,3,hit_wall,29
16,8,4,2,0.2857142857142857,8,hit_wall,28
17,8,22,2,0.1702127659574468,8,hit_wall,47
